#
# Log ID mappings
#

# Controller client
JBAS010620	WFLYCC0001
JBAS010621	WFLYCC0002
JBAS010622	WFLYCC0003
JBAS010623	WFLYCC0004
JBAS010624	WFLYCC0005
JBAS010625	WFLYCC0006
JBAS010626	WFLYCC0007
JBAS010627	WFLYCC0008
JBAS010628	WFLYCC0009
JBAS010629	WFLYCC0010
JBAS010630	WFLYCC0011
JBAS010631	WFLYCC0012
JBAS010632	WFLYCC0013
JBAS010633	WFLYCC0014
JBAS010634	WFLYCC0015
JBAS010635	WFLYCC0016
JBAS010636	WFLYCC0017
JBAS010637	WFLYCC0018
JBAS010638	WFLYCC0019
JBAS010639	WFLYCC0020
JBAS010640	WFLYCC0021
JBAS010641	WFLYCC0022
JBAS010642	WFLYCC0023
JBAS010643	WFLYCC0024
JBAS010644	WFLYCC0025
JBAS010645	WFLYCC0026
JBAS010646	WFLYCC0027
JBAS010647	WFLYCC0028
JBAS010648	WFLYCC0029
JBAS010649	WFLYCC0030
JBAS010650	WFLYCC0031
JBAS010651	WFLYCC0032
JBAS010652	WFLYCC0033
JBAS010600	WFLYCC0034
JBAS010601	WFLYCC0035
JBAS010653	WFLYCC0036

# Application Client
JBAS013200	WFLYAC0001
JBAS013201	WFLYAC0002
JBAS013202	WFLYAC0003
JBAS013220	WFLYAC0004
JBAS013221	WFLYAC0005
JBAS013222	WFLYAC0006
JBAS013223	WFLYAC0007
JBAS013224	WFLYAC0008
JBAS013225	WFLYAC0009
JBAS013226	WFLYAC0010
JBAS013227	WFLYAC0011
JBAS013228	WFLYAC0012
JBAS013229	WFLYAC0013
JBAS013230	WFLYAC0014
JBAS013231	WFLYAC0015
JBAS013232	WFLYAC0016
JBAS013233	WFLYAC0017
JBAS013234	WFLYAC0018
JBAS013235	WFLYAC0019
JBAS013236	WFLYAC0020
JBAS013237	WFLYAC0021
JBAS013238	WFLYAC0022
JBAS013239	WFLYAC0023
JBAS013240	WFLYAC0024
JBAS013241	WFLYAC0025

# Wildfly Clustering EJB Infinispan
JBAS010320	WFLYCLEJBINF0001
JBAS010321	WFLYCLEJBINF0002
JBAS010360	WFLYCLEJBINF0003
JBAS010361	WFLYCLEJBINF0004
JBAS010362	WFLYCLEJBINF0005
JBAS010363	WFLYCLEJBINF0006
JBAS010364	WFLYCLEJBINF0007
JBAS010365	WFLYCLEJBINF0008

# Wildfly Clustering Infinispan
JBAS010280	WFLYCLINF0001
JBAS010281	WFLYCLINF0002
JBAS010282	WFLYCLINF0003
JBAS010283	WFLYCLINF0004
JBAS010284	WFLYCLINF0005
JBAS010285	WFLYCLINF0006
JBAS010286	WFLYCLINF0007
JBAS010290	WFLYCLINF0008
JBAS010291	WFLYCLINF0009
JBAS010292	WFLYCLINF0010
JBAS010293	WFLYCLINF0011
JBAS010294	WFLYCLINF0012
JBAS010295	WFLYCLINF0013
JBAS010296	WFLYCLINF0014
JBAS010297	WFLYCLINF0015
JBAS010298	WFLYCLINF0016
JBAS010299	WFLYCLINF0017
JBAS010380	WFLYCLINF0018
JBAS010381	WFLYCLINF0019
JBAS010382	WFLYCLINF0020
JBAS010383	WFLYCLINF0021
JBAS010384	WFLYCLINF0022
JBAS010385	WFLYCLINF0023
JBAS010386	WFLYCLINF0024
JBAS010387	WFLYCLINF0025
JBAS010388	WFLYCLINF0026

# WildFly Clustering JGroups
JBAS010260	WFLYCLJG0001
JBAS010261	WFLYCLJG0002
JBAS010262	WFLYCLJG0003
JBAS010263	WFLYCLJG0004
JBAS010264	WFLYCLJG0005
JBAS010265	WFLYCLJG0006
JBAS010270	WFLYCLJG0007
JBAS010271	WFLYCLJG0008
JBAS010272	WFLYCLJG0009
JBAS010273	WFLYCLJG0010
JBAS010274	WFLYCLJG0011
JBAS010275	WFLYCLJG0012
JBAS010276	WFLYCLJG0013
JBAS010277	WFLYCLJG0014
JBAS010278	WFLYCLJG0015
JBAS010279	WFLYCLJG0016
JBAS010390	WFLYCLJG0017
JBAS010391	WFLYCLJG0018
JBAS010392	WFLYCLJG0019
JBAS010393	WFLYCLJG0020

# WildFly Clustering Server
JBAS010340	WFLYCLSV0001
JBAS010341	WFLYCLSV0002
JBAS010342	WFLYCLSV0003
JBAS010343	WFLYCLSV0004
JBAS010344	WFLYCLSV0005
JBAS010345	WFLYCLSV0006
JBAS010346	WFLYCLSV0007
JBAS010350	WFLYCLSV0008
JBAS010351	WFLYCLSV0009

# WildFly Clustering Web Infinispan
JBAS010320	WFLYCLWEBINF0001
JBAS010321	WFLYCLWEBINF0002
JBAS010336	WFLYCLWEBINF0003
JBAS010337	WFLYCLWEBINF0004


# WildFly Connector
JBAS010400	WFLYJCA0001
JBAS010401	WFLYJCA0002
JBAS010402	WFLYJCA0003
JBAS010403	WFLYJCA0004
JBAS010404	WFLYJCA0005
JBAS010405	WFLYJCA0006
JBAS010406	WFLYJCA0007
JBAS010407	WFLYJCA0008
JBAS010408	WFLYJCA0009
JBAS010409	WFLYJCA0010
JBAS010410	WFLYJCA0011
JBAS010411	WFLYJCA0012
JBAS010412	WFLYJCA0013
JBAS010413	WFLYJCA0014
JBAS010414	WFLYJCA0015
JBAS010415	WFLYJCA0016
JBAS010416	WFLYJCA0017
JBAS010417	WFLYJCA0018
JBAS010418	WFLYJCA0019
JBAS010419	WFLYJCA0020
JBAS010420	WFLYJCA0021
JBAS010421	WFLYJCA0022
JBAS010422	WFLYJCA0023
JBAS010423	WFLYJCA0024
JBAS010424	WFLYJCA0025
JBAS010425	WFLYJCA0026
JBAS010426	WFLYJCA0027
JBAS010427	WFLYJCA0028
JBAS010428	WFLYJCA0029
JBAS010430	WFLYJCA0030
JBAS010431	WFLYJCA0031
JBAS010432	WFLYJCA0032
JBAS010433	WFLYJCA0033
JBAS010434	WFLYJCA0034
JBAS010435	WFLYJCA0035
JBAS010436	WFLYJCA0036
JBAS010437	WFLYJCA0037
JBAS010438	WFLYJCA0038
JBAS010439	WFLYJCA0039
JBAS010440	WFLYJCA0040
JBAS010441	WFLYJCA0041
JBAS010442	WFLYJCA0042
JBAS010443	WFLYJCA0043
JBAS010444	WFLYJCA0044
JBAS010445	WFLYJCA0045
JBAS010446	WFLYJCA0046
JBAS010447	WFLYJCA0047
JBAS010448	WFLYJCA0048
JBAS010449	WFLYJCA0049
JBAS010450	WFLYJCA0050
JBAS010451	WFLYJCA0051
JBAS010452	WFLYJCA0052
JBAS010453	WFLYJCA0053
JBAS010454	WFLYJCA0054
JBAS010455	WFLYJCA0055
JBAS010456	WFLYJCA0056
JBAS010457	WFLYJCA0057
JBAS010458	WFLYJCA0058
JBAS010459	WFLYJCA0059
JBAS010460	WFLYJCA0060
JBAS010461	WFLYJCA0061
JBAS010462	WFLYJCA0062
JBAS010463	WFLYJCA0063
JBAS010464	WFLYJCA0064
JBAS010465	WFLYJCA0065
JBAS010466	WFLYJCA0066
JBAS010467	WFLYJCA0067
JBAS010468	WFLYJCA0068
JBAS010469	WFLYJCA0069
JBAS010470	WFLYJCA0070
JBAS010471	WFLYJCA0071
JBAS010472	WFLYJCA0072
JBAS010473	WFLYJCA0073
JBAS010474	WFLYJCA0074
JBAS010475	WFLYJCA0075
JBAS010476	WFLYJCA0076
JBAS010477	WFLYJCA0077
JBAS010478	WFLYJCA0078
JBAS010479	WFLYJCA0079
JBAS010480	WFLYJCA0080
JBAS010481	WFLYJCA0081
JBAS010482	WFLYJCA0082
JBAS010483	WFLYJCA0083
JBAS010484	WFLYJCA0084
JBAS010485	WFLYJCA0085
JBAS010429	WFLYJCA0086
JBAS010487	WFLYJCA0087
JBAS010486	WFLYJCA0088
JBAS010488	WFLYJCA0090
JBAS010489	WFLYJCA0091

# WildFly Controller
JBAS014600	WFLYCTL0001
JBAS014601	WFLYCTL0002
JBAS014602	WFLYCTL0003
JBAS014603	WFLYCTL0004
JBAS014604	WFLYCTL0005
JBAS014605	WFLYCTL0006
JBAS014606	WFLYCTL0007
JBAS014607	WFLYCTL0008
JBAS014608	WFLYCTL0009
JBAS014609	WFLYCTL0010
JBAS014610	WFLYCTL0011
JBAS014611	WFLYCTL0012
JBAS014612	WFLYCTL0013
JBAS014613	WFLYCTL0014
JBAS014614	WFLYCTL0015
JBAS014615	WFLYCTL0016
JBAS014616	WFLYCTL0017
JBAS014617	WFLYCTL0018
JBAS014618	WFLYCTL0019
JBAS014619	WFLYCTL0020
JBAS014620	WFLYCTL0021
JBAS014621	WFLYCTL0022
JBAS014622	WFLYCTL0023
JBAS014623	WFLYCTL0024
JBAS014624	WFLYCTL0025
JBAS014625	WFLYCTL0026
JBAS014626	WFLYCTL0027
JBAS014627	WFLYCTL0028
JBAS014628	WFLYCTL0029
JBAS014629	WFLYCTL0030
JBAS013400	WFLYCTL0031
JBAS013401	WFLYCTL0032
JBAS013402	WFLYCTL0032
JBAS013403	WFLYCTL0032
JBAS013404	WFLYCTL0033
JBAS013405	WFLYCTL0034
JBAS013406	WFLYCTL0035
JBAS013407	WFLYCTL0036
JBAS013408	WFLYCTL0037
JBAS013409	WFLYCTL0038
JBAS014630	WFLYCTL0039
JBAS014631	WFLYCTL0040
JBAS014632	WFLYCTL0041
JBAS014633	WFLYCTL0042
JBAS014634	WFLYCTL0043
JBAS014635	WFLYCTL0044
JBAS014636	WFLYCTL0045
JBAS014637	WFLYCTL0046
JBAS014638	WFLYCTL0047
JBAS014639	WFLYCTL0048
JBAS014640	WFLYCTL0049
JBAS014641	WFLYCTL0050
JBAS014642	WFLYCTL0051
JBAS014643	WFLYCTL0052
JBAS014644	WFLYCTL0053
JBAS014645	WFLYCTL0054
JBAS014646	WFLYCTL0055
JBAS014647	WFLYCTL0056
JBAS014648	WFLYCTL0057
JBAS014649	WFLYCTL0058
JBAS014650	WFLYCTL0059
JBAS014651	WFLYCTL0060
JBAS014652	WFLYCTL0061
JBAS014653	WFLYCTL0062
JBAS014654	WFLYCTL0063
JBAS014655	WFLYCTL0064
JBAS014656	WFLYCTL0065
JBAS014657	WFLYCTL0066
JBAS014658	WFLYCTL0067
JBAS014659	WFLYCTL0068
